epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1435.89,3.39035,0.39648,0.72367,2.29983,6.16184e-05,6.16184e-05,6.16184e-05
2,2743.23,2.12069,0.52573,0.82461,1.69121,0.00011108,0.00011108,0.00011108
3,3931.57,1.77586,0.57444,0.85738,1.50239,0.000148331,0.000148331,0.000148331
4,5265.15,1.61368,0.60523,0.86981,1.40266,0.000130055,0.000130055,0.000130055
5,6588.17,1.49323,0.62161,0.87702,1.34369,0.00011174,0.00011174,0.00011174
6,7887.55,1.42663,0.63542,0.88439,1.2991,9.3425e-05,9.3425e-05,9.3425e-05
7,9073.46,1.37382,0.64511,0.88808,1.26117,7.511e-05,7.511e-05,7.511e-05
8,10238.6,1.32102,0.65111,0.89099,1.24353,5.6795e-05,5.6795e-05,5.6795e-05
9,11439.9,1.29186,0.65412,0.89331,1.23075,3.848e-05,3.848e-05,3.848e-05
10,12664.3,1.27276,0.6554,0.89331,1.2189,2.0165e-05,2.0165e-05,2.0165e-05
