epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3554.58,2.29848,0.61227,0.8937,1.29524,0.00998654,0.00332885,0.00998654,0.00332885,0.00998654,0.00332885,0.00998654,0.00332885
2,6351.63,1.3406,0.65944,0.9142,1.12978,0.0194919,0.00649729,0.0194919,0.00649729,0.0194919,0.00649729,0.0194919,0.00649729
3,8406.36,1.31011,0.60755,0.88751,1.33646,0.0285022,0.00950074,0.0285022,0.00950074,0.0285022,0.00950074,0.0285022,0.00950074
4,10476.7,1.3437,0.65502,0.9055,1.19249,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,13042.9,1.18849,0.6677,0.91803,1.15281,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,16371.7,1.12944,0.67846,0.92275,1.09275,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,18955.6,1.05504,0.69173,0.92216,1.09758,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,21002,0.99494,0.69512,0.92511,1.0894,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,23022.7,0.9624,0.71488,0.92953,0.99526,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,25034.3,0.92798,0.71561,0.92599,1.03176,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,27045.7,0.88992,0.71945,0.93307,0.98154,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,29054.3,0.84934,0.72608,0.93675,0.97993,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,31111.1,0.82609,0.72844,0.93307,0.9847,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,33115.5,0.79625,0.7395,0.93749,0.93358,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
15,35123.7,0.78189,0.74421,0.93823,0.92937,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
16,37127.8,0.73814,0.74923,0.93852,0.93638,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
17,39131.3,0.71399,0.74967,0.94339,0.92492,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
18,41127.9,0.68617,0.75055,0.94206,0.93576,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
19,43136.2,0.64927,0.75365,0.9428,0.93091,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
20,45142.7,0.62861,0.7622,0.94191,0.92008,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
21,47152.8,0.60616,0.75822,0.94471,0.92453,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,49166.5,0.57516,0.76117,0.94457,0.91004,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
23,51185.7,0.55223,0.7681,0.94516,0.89836,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
24,53201.4,0.53208,0.76795,0.94648,0.91505,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
25,55231.1,0.51092,0.77163,0.94575,0.91302,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
26,57269.9,0.46634,0.77355,0.94634,0.92013,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
27,59305.9,0.46059,0.76898,0.94545,0.91471,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
28,61332.2,0.43611,0.77267,0.9487,0.91219,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
29,63355.3,0.41022,0.77503,0.94737,0.91243,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
30,65370,0.38891,0.77621,0.9484,0.91124,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
31,67388.7,0.36612,0.7765,0.94987,0.90583,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
32,69400.9,0.35231,0.77694,0.94987,0.91072,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
33,71419.2,0.33024,0.77856,0.95032,0.91341,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
34,73433,0.31334,0.78048,0.94752,0.91543,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
35,75452,0.29957,0.7796,0.94943,0.91838,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
36,77468.7,0.28053,0.78122,0.9487,0.9226,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
37,79485.9,0.26342,0.78019,0.9487,0.92256,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
38,81499.3,0.25105,0.78078,0.94752,0.92256,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
39,83519.2,0.23721,0.78107,0.94796,0.92324,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
40,85536.9,0.22993,0.78151,0.94811,0.92331,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
